"","id","gender","nat","lang","age","ip","c_mt","w_id","f_t","t_ini","t_end","trials_n","version","id_p","trial","cond","ex1","ex2","ex3","fep","t_in","t1","t2","t_out","t_in_rep","t1_rep","t2_rep","t_out_rep","rt"
"5152",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,15,"fep","paon","elephant","owl","tortue","geko","dindon","casuarius","jellyfish",0,1,1,0,26311
"5159",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,11,"dist","oryx","tiger","cerf","lama","dromadaire","alces","capri","beaver",0,1,1,0,13998
"5170",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,16,"filler_yes","mesange","paon","dindon","spider2","macareux","chouette","rouge","swan",1,1,1,1,10807
"5172",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,13,"filler_no","pinguouin","chouette","owl","paon","jellyfish2","grasshopper2","apples","trametes",0,0,0,0,9711
"5174",304,"M","United","English",1993,"71.199.114.166","SMFNZCR","A12ZKKA42C4MQJ",0.583333,"13:46:04","13:52:42",22,"amb_A1",304,5,"dist","bouleau","orchid","chestnut","baobab","cactus2","horn","apples","nymph",1,1,0,1,13712
"5175",286,"M","United","English",1985,"24.27.107.47","YVVM83Z","APB2WO5F0WKDH",0.466667,"13:40:57","13:46:33",22,"amb_A1",286,3,"fep","chestnut","cephalantera","horn","cactus2","pachys","bouleau","peach","cypre",1,1,0,0,16079
"5178",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,21,"filler_yes","perruche","macareux","pinguouin","morchella","hawk","paon","ara","swan",1,1,1,1,13615
"5179",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,17,"dist","chestnut","iris","oak","cactus","bux","bouleau","peach","cypre",1,1,0,0,13975
"5184",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,14,"filler_fep","rouge","chouette","pelican","pachys","hawk","paon","pinguouin","mesange",1,1,1,0,9306
"5190",285,"F","United","English",1981,"99.163.111.154","LTFV9VR","A2D8LCIPXR0JOR",0.616667,"13:40:47","13:51:39",22,"amb_A1",285,2,"dist","horn","lilium","bouleau","cactus3","bux","chestnut","apples","taxus",1,1,1,1,14612
"5191",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,22,"filler_no","macareux","dindon","rouge","cassiopea","swan","gazania","starfish3","morchella",0,0,0,1,19342
"5197",284,"M","United","English",1992,"98.220.131.79","LNJ2UC","A25GETDAE14BCV",0.433333,"13:40:39","13:45:25",22,"amb_A1",284,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","lycaon",1,1,0,0,7135
